Zone,Type,Location,Overrides,AP START 1
1.1,Smoke Detector,SubCell Fire Pump Rm,,
2.1,Smoke Detector,SubCell Compactor Rm,,
3.1,Smoke Detector,SubCell Lobby ByElev,,
4.1,Heat Detector,SubCell ByGarageDoor,,
5.1,Smoke Detector,SubCell ATS Room,,
6.1,Smoke Detector,SubCell Plumbing Rm,,
7.1,Smoke Detector,SubCell LowVoltageRm,,
8.1,Smoke Detect #1,SubCell ElectricalRm,,
9.1,Smoke Detect #2,SubCell ElectricalRm,,
10.1,Smoke Detector,SubCell BySouthExit,,
11.1,Dual Heat Det,SubCell Elev Lobby,,
12.1,Smoke Detector,1FL Lobby,,
13.1,Smoke Detector,1FL Above FCS,,
14.1,Dual Heat Det,1FL Elev Lobby,,
15.1,Smoke Detector,1FL South Stairs,,
16.1,Heat Detector,1FL GarageDoor,,
17.1,Duct Det Supply,2FL ERV D-2-1,,
18.1,Duct Det Return,2FL ERV D-2-1,,
19.1,Smoke Detector,2FL By North Exit,,
20.1,Dual Heat Det,2FL Elev Lobby,,
21.1,Smoke Detector,2FL ElectricMeterRm,,
22.1,Heat Detector,2FL By Garage Door,,
23.1,Smoke Detector,2FL OfficeAreaExit,,
24.1,Smoke Detector,2FL By South Exit,,
25.1,Smoke Detector,3FL ExitByElev,,
26.1,Dual Heat Det,3FL Elev Lobby,,
27.1,Smoke Detector,4FL ExitByElev,,
28.1,Dual Heat Det,4FL Elev Lobby,,
29.1,Smoke Detector,5FL ExitByElev,,
30.1,Dual Heat Det,5FL Elev Lobby,,
31.1,Smoke Detector,6FL ExitByElev,,
32.1,Dual Heat Det,6FL Elev Lobby,,
33.1,Smoke Detector,7FL ExitByElev,,
34.1,Dual Heat Det,7FL Elev Lobby,,
35.1,Smoke Detector,8FL ExitByElev,,
36.1,Dual Heat Det,8FL Elev Lobby,,
37.1,Smoke Detector,9FL ExitByElev,,
38.1,Dual Heat Det,9FL Elev Lobby,,
39.1,Smoke Detector,10FL ExitByElev,,
40.1,Dual Heat Det,10FL Elev Lobby,,
41.1,Smoke Detector,11FL ExitByElev,,
42.1,Dual Heat Det,11FL Elev Lobby,,
43.1,Smoke Detector,12FL ExitByElev,,
44.1,Dual Heat Det,12FL Elev Lobby,,
45.1,Smoke Detector,13FL ExitByElev,,
46.1,Dual Heat Det,13FL Elev Lobby,,
47.1,Smoke Detector,14FL ExitByElev,,
48.1,Dual Heat Det,14FL Elev Lobby,,
49.1,Smoke Detector,15FL ExitByElev,,
50.1,Dual Heat Det,15FL Elev Lobby,,
51.1,Smoke Detector,16FL ExitByElev,,
52.1,Dual Heat Det,16FL Elev Lobby,,
53.1,Smoke Detector,17FL ExitByElev,,
54.1,Dual Heat Det,17FL Elev Lobby,,
55.1,Smoke Detector,18FL ExitByElev,,
56.1,Dual Heat Det,18FL Elev Lobby,,
57.1,Smoke Detector,19FL ExitByElev,,
58.1,Dual Heat Det,19FL Elev Lobby,,
59.1,Smoke Detector,20FL ExitByElev,,
60.1,Dual Heat Det,20FL Elev Lobby,,
61.1,Smoke Detector,21FL ExitByElev,,
